timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690054964524,47,PUT Activity,200,OK,StressTest 1-5,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,47,0,0
1690054964522,52,GET Activity,200,OK,StressTest 1-13,text,true,,287,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/4,52,0,0
1690054964525,49,PUT Activity,200,OK,StressTest 1-3,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,49,0,0
1690054964530,44,GET Activity,200,OK,StressTest 1-7,text,true,,287,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/5,44,0,0
1690054964538,38,DELETE Activity,200,OK,StressTest 1-14,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/7,38,0,0
1690054964541,38,POST Activity,200,OK,StressTest 1-11,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,38,0,0
1690054964545,41,POST Activity,200,OK,StressTest 1-4,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,41,0,0
1690054964541,46,PUT Activity,200,OK,StressTest 1-10,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/3,46,0,0
1690054964549,39,DELETE Activity,200,OK,StressTest 1-6,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/8,39,0,0
1690054964551,43,POST Activity,200,OK,StressTest 1-9,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,43,0,0
1690054964551,47,GET All Activities,200,OK,StressTest 1-1,text,true,,3045,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,47,0,0
1690054964557,41,DELETE Activity,200,OK,StressTest 1-15,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/9,41,0,0
1690054964561,42,POST Activity,200,OK,StressTest 1-8,text,true,,275,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,42,0,0
1690054964560,44,POST Activity,200,OK,StressTest 1-12,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,44,0,0
1690054964563,41,DELETE Activity,200,OK,StressTest 1-2,,true,,121,231,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/10,41,0,0
1690054964571,40,DELETE Activity,200,OK,StressTest 1-5,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,40,0,0
1690054964574,41,PUT Activity,200,OK,StressTest 1-7,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/5,41,0,0
1690054964574,41,PUT Activity,200,OK,StressTest 1-13,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/4,41,0,0
1690054964576,49,GET All Activities,200,OK,StressTest 1-14,text,true,,3048,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,49,0,0
1690054964579,46,GET Activity,200,OK,StressTest 1-11,text,true,,287,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/6,46,0,0
1690054964574,51,DELETE Activity,200,OK,StressTest 1-3,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,51,0,0
1690054964586,39,GET Activity,200,OK,StressTest 1-4,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/7,39,0,0
1690054964587,47,DELETE Activity,200,OK,StressTest 1-10,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/3,47,0,0
